Dates,Dates,G007026E45991N,G007050E45972N,G007281E45526N,G007297E45961N,G007394E45986N,G007419E45967N,G007510E46381N,G007549E46005N,G007581E46002N,G007603E46067N,G007625E45991N,G007639E46058N,G007682E46077N,G007702E46120N,G007730E45943N,G007761E45922N,G007800E45965N,G007807E46481N,G007833E46493N,G007846E45906N,G007860E46128N,G007880E45990N,G007892E46055N,G007896E46027N,G007908E45948N,G007922E46000N,G007930E46472N,G007964E46423N,G008016E46459N,G008051E46567N,G008098E46566N,G008131E46609N,G008144E46504N,G008147E46640N,G008156E46616N,G008187E46569N,G008379E46648N,G008431E46695N,G008861E46827N,G009837E46351N,G009860E46370N,G009889E46366N,G009942E46399N,G009969E46369N,G010535E46167N,G010577E46153N,G010609E46395N,G011184E46953N,G021992E70174N,G022083E70150N,G041229E43392N,G041338E43356N,G041406E43354N,G041420E43362N,G041426E43326N,G041439E43313N,G041493E43296N,G041519E43299N,G041523E43281N,G041561E43266N,G041572E43240N,G041626E43230N,G041652E43255N,G041673E43238N,G041692E43207N,G041693E43224N,G041772E43227N,G041843E43225N,G041904E43293N,G041997E43219N,G042051E43198N,G042078E43218N,G042093E43100N,G042100E43207N,G042112E43216N,G042177E43228N,G042208E43222N,G042234E43233N,G042280E43217N,G042321E43226N,G043762E42752N,G043763E42801N,G043771E42740N,G043772E42828N,G043844E42752N,G043845E42727N,G043884E42750N,G044389E42749N,G044447E42733N,G044467E42706N,G044477E42719N,G044483E42698N,G044503E42719N,G044517E42715N,G044537E42706N,G045335E42577N,G045645E42509N,G047796E38263N,G050944E36380N,G050969E36388N,G072154E36611N,G072276E36720N,G073881E36791N,G075110E36318N,G075212E36027N,G075248E38558N,G076135E33464N,G076139E33764N,G076233E33705N,G076553E35339N,G076582E35961N,G077195E35779N,G077441E36518N,G077780E36712N,G077972E34575N,G079397E36144N,G079448E36046N,G079544E31011N,G079568E34309N,G080251E42005N,G080422E35819N,G080574E35527N,G080581E42004N,G080842E42199N,G080860E34368N,G080949E42400N,G081057E35255N,G081184E35317N,G081637E42410N,G082076E35436N,G083476E28736N,G084142E28500N,G084689E28511N,G084759E28427N,G084939E43518N,G085638E34457N,G085758E28296N,G085885E34389N,G086280E28276N,G086633E28122N,G086719E28132N,G087182E36381N,G087347E36344N,G087851E49154N,G089107E33816N,G089122E33894N,G090157E28136N,G090936E36102N,G091091E33424N,G091092E33366N,G211128E60439N,G212558E63648N,G213319E63433N,G222166E59371N,G222767E59342N,G222945E59218N,G223019E59160N,G223058E59316N,G223217E59479N,G223301E58723N,G223304E59444N,G223515E59091N,G223711E59237N,G223858E59202N,G225242E59366N,G225315E59267N,G225357E59279N,G225688E59122N,G226067E58945N,G226234E58919N,G226274E58882N,G226677E58330N,G226792E58448N,G226839E58334N,G226922E58043N,G227371E58087N,G227390E57963N,G227438E57917N,G227454E58004N,G227482E57968N,G227526E57562N,G227627E57972N,G227643E57506N,G227691E57501N,G227784E57753N,G235042E57853N,G239484E53002N,G239808E52894N,G240244E52815N,G240543E53417N,G241920E52410N,G242130E52179N,G242143E52208N,G242234E52184N,G242636E52211N,G242657E52180N,G242731E52135N,G242954E51919N,G243063E50807N,G243112E51724N,G282656E09382S,G286639E49733S,G286738E50402S,G286764E50376S,G286773E49566S,G286852E49174S,G286866E49224S,G286875E49227S,G286878E49177S,G286883E50681S,G286900E49352S,G286902E49166S,G286920E49359S,G286924E49328S,G286929E49140S,G286934E49316S,G286954E49103S,G286984E49869S,G287357E15537S,G287591E48477S,G287611E48517S,G287660E48530S,G287664E48504S,G287940E42132S,G288117E41158S,G289903E32043S,G289924E32060S,G289971E32602S,G289972E33043S,G289986E32570S,G289994E32681S,G289995E32986S,G290007E31452S,G290035E33013S,G290117E33830S,G290133E33763S,G290159E33735S,G290163E33530S,G290191E33451S,G290195E33749S,G290197E33544S,G290207E30395S,G290237E33382S,G290237E33400S,G291155E27738S 
175,1993-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,1993-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,1993-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,1993-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,1993-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,1994-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,1994-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,1994-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,1994-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,1994-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,1994-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,1994-07-01,6.825639001464843,9.7507669921875,5.492913903808594,16.314018310546874,5.728056481933594,8.348878564453125,8.386946411132811,9.40259267578125,9.674957592773437,4.870173449707031,17.405033203125,16.85655703125,6.209164951171875,5.791528212890625,10.040206494140625,9.077037890624998,48.049552734375,13.913333789062499,6.101584130859375,11.945088867187499,7.8386677734375,13.54348505859375,9.510348779296875,9.6708509765625,9.3851208984375,4.6706684326171874,10.423775976562501,17.705188183593748,6.732294873046875,11.766053906249999,8.695362451171876,8.689148060825891,39.3588240234375,5.253286941964285,9.139778362165178,29.19378984375,14.79966708984375,6.3437937890625,13.873663769531248,5.802796845703125,7.889830839843751,4.949761728515624,18.046057148437498,5.91338091796875,16.613750390625,6.916465869140626,12.956554394531251,7.599830976562499,9.622775390625,13.01894033203125,2.949514013671875,2.3679093854631694,2.1472054595947263,2.7798597564697265,2.0571598388671877,3.7376358398437497,7.104732890625,2.808213647460937,6.285243017578125,4.6839328125,4.7744970703125,5.109999169921875,2.0747822021484374,2.3924764892578128,1.7077464111328124,1.7450505615234375,2.4360355224609376,2.3473587890625,1.720737890625,1.7828999267578125,2.18581611328125,3.112278955078125,2.4784289794921874,2.11155732421875,2.93427099609375,2.778257373046875,1.73797734375,1.9304173095703125,2.178231372070312,2.0839280273437497,2.745126416015625,1.6560400634765624,1.8442584777832032,1.7406023803710937,13.7469369140625,4.04422822265625,2.052148095703125,2.3604291210937496,4.387663916015624,1.3427039794921876,6.3864404296875,2.3392215087890627,2.4455068725585933,7.925435595703124,2.284032568359375,2.5516688049316407,2.035122300502232,1.1637762817382813,4.600477221679688,2.4507416931152344,67.40220234374999,59.459385937499995,46.99484296875,78.6441796875,59.07598828125,47.25948105468749,54.460133789062496,54.138603515625,48.23892421875,35.396701171874994,20.780428271484375,38.46261746651786,33.36338119419643,34.811086523437496,29.3557365234375,44.602470703125,39.434109375,47.207382421874996,11.072195507812499,38.951061328125,46.53022349330357,40.86062296875,54.030762890625,50.16725625,36.905274609375,52.41180146484375,33.722668359375,44.9662865625,39.050633203124995,44.65566813616071,,,44.298696972656245,62.770559765624995,39.729378515625,35.93413125,24.024410595703124,35.9496703125,25.96537114955357,35.925191015624996,49.789197656249996,50.826237890625,39.141685546874996,39.2698546875,37.03921171875,42.03502822265625,46.869515625,38.744778515625,29.88998525390625,34.11340576171875,,86.00473124999999,,40.64561015625,21.0149267578125,18.95556884765625,54.1753171875,22.484762109374998,25.649022656249997,39.4904830078125,24.4106619140625,52.5733998046875,37.451213671874996,17.999111132812498,,19.422276855468752,48.1307783203125,19.75810693359375,47.767445507812496,19.7373375,23.879394140625,21.818374804687497,39.484946484375,36.11431640625,37.266278906249994,23.122606640624998,27.199473046875,51.522788671875,40.877182031249994,19.080705468749997,,19.7457251953125,,,,32.61552609375,21.209471630859376,28.07435126953125,18.300322265625,30.822570703125,22.2518358984375,50.459466796875,22.6049625,36.73483857421875,21.3625993359375,30.53372431640625,33.3829107421875,19.869227050781248,18.66965185546875,38.1379341796875,5.8631194335937495,,,,,,,,,,,,,,,,,,30.689110546875,,,,,,,6.0004634765625,8.729339501953124,10.23928740234375,10.13033513671875,18.403880273437498,9.898112109374999,15.1532286328125,14.609019067382812,17.866382695312502,10.79623095703125,23.54766298828125,13.395367529296873,7.234880625,15.476897812499999,8.767037548828124,9.877655917968749,9.63324990234375,7.792869067382812,11.99807455078125,11.853890039062499
187,1994-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,1994-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,1994-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,1994-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,1994-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,1995-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,1995-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,1995-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,1995-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,1995-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,1995-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,1995-07-01,6.82309072265625,9.732438867187499,5.467988671874999,16.24580859375,5.71817548828125,8.30863564453125,8.3718076171875,9.3824455078125,9.65310029296875,4.859387109375,17.352799365234375,16.795792529296875,6.192780249023438,5.783112231445312,9.942844921875,9.077101318359375,47.678234765625,13.865501953125,6.082635424804688,11.918371875,7.83427236328125,13.537592578125,9.47096044921875,9.6669427734375,9.407069677734375,4.672184692382813,10.381700537109374,17.56806591796875,6.7276144775390625,11.741320751953126,8.60164658203125,8.652367822265624,39.258936328124996,5.2697187011718745,9.13152041015625,29.017895800781247,14.8071615234375,6.334925390625,13.945492309570312,5.858580432128906,7.880357373046875,4.95811318359375,18.06999609375,5.908998449707031,16.594621874999998,6.935320019531249,12.93977197265625,7.58950341796875,9.61259853515625,13.007875341796876,2.9455074316406247,2.355779223632813,2.1295431884765623,2.772034533691406,2.04817939453125,3.716781005859375,7.081266796874999,2.804105731201172,6.254620971679687,4.672771655273437,4.768297338867187,5.101018725585938,2.0708664916992188,2.3889845764160156,1.708741241455078,1.7425238708496094,2.4325669006347654,2.342028405761719,1.7217395233154296,1.7837346313476563,2.167268719482422,3.104202227783203,2.4733635314941407,2.1103412475585936,2.933464691162109,2.777323425292969,1.7326732543945311,1.9286399047851563,2.175379541015625,2.0760900983537947,2.8155650390625,1.6562372314453124,1.8428050415039063,1.7329117675781252,13.6925572265625,4.0470984375,2.052156298828125,2.3549077880859373,,,,,,,,2.550129180908203,2.03334169921875,1.147869956752232,4.592557067871093,2.44930869140625,67.32824765625,59.32737421875,,78.74622421875,58.9887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6793572265625,35.8961818359375,49.772641406249996,,,,37.00222734375,,46.78880625,38.768108203124996,,,,,46.488346875,40.5153580078125,20.998999951171875,18.95378203125,54.1466103515625,22.507865771484376,25.620513574218748,38.7771046875,24.65282109375,52.453424707031246,37.60051138392857,17.907930615234374,29.901210205078122,19.33921318359375,47.75305580357143,19.71739546875,47.79517078125,19.7242709765625,23.882664374999997,21.54712353515625,39.337399687499996,35.980539609375,37.290391699218745,23.05912880859375,27.118473486328124,51.663690527343746,41.049320507812496,19.034584960937497,25.0824955078125,19.707701000976563,28.991164921874997,4.288965380859375,,32.483814609374996,21.1721009765625,28.0609330078125,18.2853703125,30.815377734374998,22.236673095703125,50.50444833984375,22.568272558593748,36.7396505859375,21.31789921875,30.39944326171875,33.406315136718746,,18.6559646484375,,5.859361669921874,,,,,,,,,,,,,,,,,,30.4741810546875,,,,,,,5.9837501953125,8.711091210937498,10.203719238281248,10.043432666015624,18.377550703125,9.951616845703125,15.069827109375002,14.54717783203125,17.7420828515625,10.797621240234376,23.416050585937498,13.329304394531249,7.19070240234375,15.417742148437501,8.73589599609375,9.8016451171875,9.6323326171875,7.7654436328125005,11.880596953125,11.836140161132812
199,1995-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,1995-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,1995-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,1995-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,1995-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,1996-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,1996-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,1996-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1996-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,1996-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1996-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
