"line_type","anlys_id","glac_id","anlys_time","area","db_area","width","length","primeclass","min_elev","mean_elev","max_elev","src_date","rec_status","glac_name","wgms_id","local_id","glac_stat","subm_id","release_dt","proc_desc","rc_id","geog_area","chief_affl","loc_unc_x","loc_unc_y","glob_unc_x","glob_unc_y","submitters","analysts","bboxes","geog_area_rollup"
"pro_lake","60962.0","G282576E09402S","2007-04-15T08:00:00","1.2429","1.23879","0.0","0.0","0.0","4854.0","5225.0","0.0","2005-07-11T15:33:25","okay","None","None","PE1P005CND01","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","15","15","30","30","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.4314115, -9.39196585), (-77.4286945, -9.39196585), (-77.4286945, -9.38985715), (-77.4314115, -9.38985715), (-77.4314115, -9.39196585)]","South America"
"pro_lake","60969.0","G282537E09423S","2007-04-15T08:00:00","4.5234","4.52705","0.0","0.0","0.0","4740.0","5231.0","0.0","2005-07-11T15:33:25","okay","None","None","PE1P005CCOAA1","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","15","15","30","30","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.48090105, -9.42661005), (-77.47685195, -9.42661005), (-77.47685195, -9.42262695), (-77.48090105, -9.42262695), (-77.48090105, -9.42661005)]","South America"
"debris_cov","61178.0","G282566E09418S","2007-04-15T08:00:00","4.2615","4.268","0.0","0.0","0.0","4466.0","5175.0","0.0","2005-07-11T15:33:25","okay","None","None","None","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","60","60","100","100","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.44471395000001, -9.436227), (-77.43202105, -9.436227), (-77.43202105, -9.415766999999999), (-77.44471395000001, -9.415766999999999), (-77.44471395000001, -9.436227)]","South America"
"pro_lake","61139.0","G282617E09360S","2007-04-15T08:00:00","7.173","7.14871","0.0","0.0","0.0","4657.0","5467.0","0.0","2005-08-28T15:33:04","okay","None","None","PE1P005CMI03","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","15","15","30","30","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.37531564999999, -9.3423722), (-77.36518134999999, -9.3423722), (-77.36518134999999, -9.335129799999999), (-77.37531564999999, -9.335129799999999), (-77.37531564999999, -9.3423722)]","South America"
"pro_lake","60931.0","G282593E09327S","2007-04-15T08:00:00","1.4013","1.42405","0.0","0.0","0.0","4748.0","5363.0","0.0","2005-08-28T15:33:04","okay","None","None","PE1P005CMJ04","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","15","15","30","30","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.39566200000002, -9.32816005), (-77.395244, -9.32816005), (-77.395244, -9.327542950000002), (-77.39566200000002, -9.327542950000002), (-77.39566200000002, -9.32816005)]","South America"
"pro_lake","60939.0","G282596E09355S","2007-04-15T08:00:00","1.3338","1.33729","0.0","0.0","0.0","4781.0","5270.0","0.0","2005-08-28T15:33:04","okay","None","None","PE1P005CNB06","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","15","15","30","30","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.4163594, -9.3659381), (-77.4080126, -9.3659381), (-77.4080126, -9.3611399), (-77.4163594, -9.3611399), (-77.4163594, -9.3659381)]","South America"
"pro_lake","61080.0","G282330E08962S","2007-04-15T08:00:00","1.953","1.97234","0.0","0.0","0.0","5005.0","5448.0","0.0","2005-08-28T15:33:04","okay","None","None","PE1P005CFL01","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","15","15","30","30","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.67590254999999, -8.953466650000001), (-77.67509845, -8.953466650000001), (-77.67509845, -8.95266035), (-77.67590254999999, -8.95266035), (-77.67590254999999, -8.953466650000001)]","South America"
"debris_cov","61092.0","G282321E09039S","2007-04-15T08:00:00","1.5849","1.5871","0.0","0.0","0.0","4703.0","5209.0","0.0","2005-08-28T15:33:04","okay","None","None","None","None","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","60","60","100","100","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.68535195000001, -9.0505135), (-77.67967705, -9.0505135), (-77.67967705, -9.043154499999998), (-77.68535195000001, -9.043154499999998), (-77.68535195000001, -9.0505135)]","South America"
"debris_cov","61118.0","G282338E09026S","2007-04-15T08:00:00","2.1384","2.13206","0.0","0.0","0.0","4220.0","5235.0","0.0","2005-08-28T15:33:04","okay","None","None","PE1P005CGK01","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","60","60","100","100","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.6852269, -9.0161795), (-77.66778310000001, -9.0161795), (-77.66778310000001, -8.9997125), (-77.6852269, -8.9997125), (-77.6852269, -9.0161795)]","South America"
"debris_cov","60840.0","G282325E09033S","2007-04-15T08:00:00","2.3229","2.32218","0.0","0.0","0.0","4766.0","5454.0","0.0","2005-08-28T15:33:04","okay","None","None","PE1P005CGL01","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","60","60","100","100","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.68588335, -9.023959900000001), (-77.67896764999999, -9.023959900000001), (-77.67896764999999, -9.0160421), (-77.68588335, -9.0160421), (-77.68588335, -9.023959900000001)]","South America"
"debris_cov","60843.0","G282333E09042S","2007-04-15T08:00:00","3.8205","3.79941","0.0","0.0","0.0","4449.0","5338.0","0.0","2005-08-28T15:33:04","okay","None","None","PE1P005CHC03","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","60","60","100","100","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.6769259, -9.06008215), (-77.67395810000001, -9.06008215), (-77.67395810000001, -9.05543685), (-77.6769259, -9.05543685), (-77.6769259, -9.06008215)]","South America"
"debris_cov","61199.0","G282302E08975S","2007-04-15T08:00:00","2.5902","2.5872","0.0","0.0","0.0","4649.0","5124.0","0.0","2005-08-28T15:33:04","okay","None","None","PE1P005CGB01","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","60","60","100","100","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.71745084999999, -8.97860635), (-77.70163615, -8.97860635), (-77.70163615, -8.968500649999998), (-77.71745084999999, -8.968500649999998), (-77.71745084999999, -8.97860635)]","South America"
